average_rtt,packet_loss,bits_per_second,bu_ratio,retransmits,cpu_host_total,cpu_host_system,bidirectional_duration_ms,src2dst_duration_ms,dst2src_duration_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,traffic_type,traffic_type_numeric
1861.505,10.8,596966.9376569999,94.03033062343,121,3.127293,2.7079470000000003,18014,18014,15546,818.8181818181818,1009.5812727662624,3102,1501.166666666667,968.8310513503404,3102,1727.333333333333,1554.8157447106073,5117,high,2
1694.886,10.8,418965.464589,95.81034535411,41,3.586003,3.073919,19343,19343,16735,879.2272727272726,1333.8909761909465,5306,1611.916666666667,1484.8371479932086,5306,1859.4444444444448,2146.1337394901043,6862,high,2
1572.4520000000002,14.6,741389.448541,92.58610551459,134,3.237006,2.7393490000000003,17114,17114,14659,855.7000000000003,1368.881029777318,5320,1555.8181818181818,1554.0719943543038,5320,1832.375,2442.189061214198,7288,high,2
1863.734,19.6,565300.642038,94.34699357962,104,3.567409,3.017132,19312,19312,16983,919.6190476190476,1294.4510217150157,4508,1755.6363636363635,2035.4826097379107,7101,1887.0,1464.5747676373508,4508,high,2
1651.025,12.2,492328.598711,95.07671401289,60,3.840799,3.272978,18399,18399,15945,968.3684210526316,1314.7780214218806,4805,1839.9,1846.564223993667,6364,1993.125,1448.2949026355095,4805,high,2
1544.5220000000006,12.0,625473.080453,93.74526919547002,97,3.630613,3.008187,19086,19086,16692,908.8571428571428,1282.8831702736725,4656,1735.090909090909,1904.358025926084,6636,1854.666666666667,1459.96232828111,4656,high,2
1879.826,9.0,639841.877406,93.60158122594,29,3.632808,3.157799,16179,16153,16154,851.5263157894738,1357.480892782291,4863,1794.7777777777774,1521.1567783908552,4863,1794.888888888889,1707.9467530081586,5359,high,2
1612.563,11.4,535414.159512,94.64585840488,84,4.115546,3.521156,26920,26920,24377,1223.6363636363635,2652.548505825592,12250,2447.2727272727275,3570.6270063088105,12739,2437.7000000000007,3630.190109806005,12250,high,2
1616.24,12.0,480695.39492,95.1930460508,77,3.310193,2.775655,20623,20623,19236,1145.7222222222224,1950.5039410836896,6717,2062.3,2274.2207481049663,6742,2748.0,4146.894420326292,11851,high,2
1622.7520000000006,9.2,611254.998463,93.88745001537,50,3.283264,2.8300680000000003,18142,18142,15779,954.842105263158,1276.0805992986625,4563,1814.2,1764.0787208436398,6060,1972.375,1378.1427396007591,4563,high,2
1597.446,11.8,903764.062175,90.96235937825,175,3.53991,2.974726,13897,13897,12509,694.85,1072.146949619756,3802,1389.7,1195.9606134354462,3827,1389.888888888889,1268.41411262691,3827,high,2
1605.395,12.4,714359.385885,92.85640614115,102,4.000408999999999,3.386649,13015,12989,12989,723.0555555555555,1171.7902076949072,3944,1443.2222222222226,1351.1047126127733,3969,1623.625,1332.094799018234,3975,high,2
1712.665,9.4,109475.179128,98.90524820872,35,12.898814,10.781516,13199,13174,13174,1649.875,2572.272893626513,6515,3293.5,2907.379748158125,6540,4391.333333333333,2334.064552092194,6540,high,2
1597.58,15.2,646598.8948560001,93.53401105144,52,4.21375,3.570523,10823,10823,9903,601.2777777777778,892.840398461104,3182,1202.5555555555557,974.17145707405,3208,1237.875,1035.162573498206,3208,high,2
1546.817,12.6,632109.297325,93.67890702675,82,3.551606,2.937009,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,high,2
1694.3770000000006,15.4,1005688.627605,89.94311372395,176,3.307871,2.831952,13879,13879,12470,693.9499999999997,1075.025555387797,3807,1387.9,1202.9454083854162,3833,1385.5555555555554,1275.6188802999811,3832,high,2
1545.311,12.4,825368.861311,91.74631138689,115,3.217064,2.652068,12555,12530,12530,1141.3636363636365,1804.254265491828,5189,2506.0,3040.364205157008,7225,2506.0,1990.329746549552,5189,high,2
1584.783,10.8,904137.655508,90.95862344492,125,3.398301,2.913787,12696,12670,12671,976.6153846153844,1656.1942085426624,5174,2111.6666666666665,2827.133436303753,7206,2111.833333333333,1946.018850542478,5174,high,2
1638.8829999999994,10.0,495029.022726,95.04970977274,70,3.7787660000000014,3.2284650000000004,14140,14115,14115,1010.0,1512.1000679136996,4843,2016.428571428572,1633.3644068958663,4843,2352.5,1798.578855652429,5350,high,2
1558.3670000000006,10.6,765708.9842899998,92.3429101571,126,3.575879,2.995905,16934,16934,14608,846.7,1341.8497876556744,4980,1539.4545454545455,1517.346523615246,4980,1826.0,2369.706491771261,6951,high,2
1587.787,9.8,619756.987806,93.80243012194,92,3.292955,2.787267,19184,19184,16823,959.1999999999996,1323.008119480197,4688,1918.4,2006.882834425346,6897,1869.2222222222224,1502.141203231056,4688,high,2
1668.433,9.8,605083.5103689999,93.94916489631,132,3.628049,3.127162,17031,17031,14652,851.5500000000003,1346.5898635168453,5067,1548.2727272727273,1521.3589379833472,5067,1831.5,2388.500785011385,7057,high,2
